"","venue","show_date","Name","Spotify"
"137","Bottom Lounge",2023-10-14,"The Callous Daoboys","4ZWRLOs7c4drt9mKGc0Ds0"
"138","Park West",2023-10-14,"Tommy Emmanuel","6HjfVflhYjbu6PSIsFOjwM"
"139","Park West",2023-10-14,"Larry Campbell","3H4hGe57907k53oCONU1ZR"
"140","Park West",2023-10-14,"Teresa Williams","1YkKoLSLa7lChvUaIKMNmS"
"141","Chop Shop",2023-10-14,"Spoonbill","5nIiVY5SmxWGxF0zFqUHMc"
"142","Chop Shop",2023-10-14,"Goopsteppa","0dXNe3Lre4kIsN8EKT5BxI"
"143","Lincoln Hall",2023-10-14,"Stop Light Observations","2EOIjdzbFGRM87IvJU34JJ"
"144","Schubas",2023-10-14,"Margo Cilker","5E9q1sbVJ2MCiI8MMdPvj7"
"145","The Vic Theatre",2023-10-15,"Little Feat","0ZIwOAzDuGPspzK7yiTc4S"
"146","Park West",2023-10-15,"Bahamas","4C50EbCS11M0VbGyH3OfLt"
"147","Park West",2023-10-15,"Fortunate Ones","69sHd7jjEkbKxn91qUB60L"
"148","Lincoln Hall",2023-10-15,"Small Black","1J6xqDysFw6YiQ0vMvIKds"
"149","Metro",2023-10-15,"Nation of Language","5JWBow4ywgKNQ5HBxY8hcz"
"150","Chop Shop",2023-10-15,"Suzi Shelton","6KVBsjr33qLBA2CnlnRYEf"
"151","Chop Shop",2023-10-15,"Little Miss Ann","0G7JrLPvqOjHcv891aUiUb"
"152","Schubas",2023-10-15,"Safekeeping","30D8Xvy4YshcXHnROwbnCv"
"153","Metro",2023-10-16,"Tobi Lou","4T8NIfZmVY6TJFqVzN6X49"
"154","Schubas",2023-10-16,"Amindi","1xQIR56DxgWYZPUvOLRIua"
"155","Schubas",2023-10-16,"ChloTheGod","10YC7gfEVGGez94KMAJoLx"
"156","House of Blues",2023-10-17,"The Aces","2AmfMGi3WZMxqFDHissIAe"
"157","House of Blues",2023-10-17,"Lala Lala","492I2sQFcHDcsZECYX25dE"
"158","House of Blues",2023-10-17,"Carol Ades","3WuoKYR1zeLGxR29c53Vdr"
"159","Bottom Lounge",2023-10-17,"Eddie Zuko","4AxSQnOMPd42KI149MWsub"
"160","Metro",2023-10-17,"Sextile","4ReoJ2faKfdjI0plizlL56"
"161","Metro",2023-10-17,"N8NOFACE","0HlRzJcjY69mM3nW2Xvrzi"
"162","Schubas",2023-10-17,"Gaidaa","5aLDWFw5qUmTWnEuevuhYG"
"163","Radius",2023-10-18,"Tech N9ne","6UBA15slIuadJ8h2lPRPos"
"164","Radius",2023-10-18,"Hollywood Undead","0CEFCo8288kQU7mJi25s6E"
"165","House of Blues",2023-10-18,"Owl City","07QEuhtrNmmZ0zEcqE9SF6"
"166","Byline Bank Aragon Ballroom",2023-10-18,"Kim Petras","3Xt3RrJMFv5SZkCfUE8C1J"
"167","Metro",2023-10-18,"Tirzah","6f5lOlSFJw9K79gaNnmWAd"
"168","The Salt Shed",2023-10-18,"Les Claypool’s Fearless Flying Frog Brigade","0tEEmGcFJiCm9kPY14wxzE"
"169","Schubas",2023-10-18,"JOHN","3DGEaxQk7Zd4EJv5xi5ik5"
"170","Schubas",2023-10-18,"Tunic","51M2l9r2xX31tNp0SA4WZf"
"171","Schubas",2023-10-18,"hydrodate","6Up868Tyt1E8Rrko7cVgVo"
"172","Byline Bank Aragon Ballroom",2023-10-19,"The Summer Set","0pwyD6DhbFWn8uVSz2Fr0w"
"173","Byline Bank Aragon Ballroom",2023-10-19,"Boys Like Girls","0vWCyXMrrvMlCcepuOJaGI"
"174","Byline Bank Aragon Ballroom",2023-10-19,"State Champs","1qqdO7xMptucPDMopsOdkr"
"175","Byline Bank Aragon Ballroom",2023-10-19,"LOLO","0H0OkFxp022WOyKlt3HmlA"
"176","Byline Bank Aragon Ballroom",2023-10-19,"Every Avenue","1IpSmgcN9F3KNa7j9JtAE4"
"177","The Riviera Theatre",2023-10-19,"Polyphia","4vGrte8FDu062Ntj0RsPiZ"
"178","The Riviera Theatre",2023-10-19,"DOMi & JD BECK","4UpA1KitN1RgIZVyWDbZ0U"
