"","venue","show_date","artist","artist_id","song","song_id","track_uri"
"109","Bottom Lounge",2023-10-06,"poutyface","0H44O4IYqpTOGx4c5nV37f","DEATHWISH","1QrIPQyOGl0wTilfU57weG","spotify:track:1QrIPQyOGl0wTilfU57weG"
"110","Bottom Lounge",2023-10-06,"poutyface","0H44O4IYqpTOGx4c5nV37f","NEVER FUCKIN KNOW","5PdZuVQMXk0q6Cw0AuwPov","spotify:track:5PdZuVQMXk0q6Cw0AuwPov"
"111","Bottom Lounge",2023-10-06,"poutyface","0H44O4IYqpTOGx4c5nV37f","Pretty Boy","4rTYW2D4ndQC02e6qAPo2p","spotify:track:4rTYW2D4ndQC02e6qAPo2p"
"112","Bottom Lounge",2023-10-06,"poutyface","0H44O4IYqpTOGx4c5nV37f","God Complex (Mojo)","1B3ouXA9iRkqY1ywvZbzZ5","spotify:track:1B3ouXA9iRkqY1ywvZbzZ5"
"113","Bottom Lounge",2023-10-06,"poutyface","0H44O4IYqpTOGx4c5nV37f","HEY NEIGHBOR!","4NoM07yO0Luyv3OpeTwlyW","spotify:track:4NoM07yO0Luyv3OpeTwlyW"
"114","Metro",2023-10-06,"KennyHoopla","5ObBtv5VunwwhQaXXnUrsM","estella//","3emo5sUq2OwBctNgX0NMEV","spotify:track:3emo5sUq2OwBctNgX0NMEV"
"115","Metro",2023-10-06,"KennyHoopla","5ObBtv5VunwwhQaXXnUrsM","MARRY KILL F*CK//","71MVjTIeOQzPkEmfgL3uNc","spotify:track:71MVjTIeOQzPkEmfgL3uNc"
"116","Metro",2023-10-06,"KennyHoopla","5ObBtv5VunwwhQaXXnUrsM","how will i rest in peace if i'm buried by a highway?//","4jFLw7QqWlv3lZr980HyYW","spotify:track:4jFLw7QqWlv3lZr980HyYW"
"117","Metro",2023-10-06,"KennyHoopla","5ObBtv5VunwwhQaXXnUrsM","YOU NEEDED A HIT//","5DbBHcdkzRe1HnA132Dp0z","spotify:track:5DbBHcdkzRe1HnA132Dp0z"
"118","Metro",2023-10-06,"KennyHoopla","5ObBtv5VunwwhQaXXnUrsM","SABOTAGE//","4Wkk6Soil0Oq5HZkbx73rd","spotify:track:4Wkk6Soil0Oq5HZkbx73rd"
"119","Metro",2023-10-06,"KennyHoopla","5ObBtv5VunwwhQaXXnUrsM","blood (feat. KennyHoopla & JUDGE)","5pChG5dPjvpYCEeChn5vmM","spotify:track:5pChG5dPjvpYCEeChn5vmM"
"120","Metro",2023-10-06,"KennyHoopla","5ObBtv5VunwwhQaXXnUrsM","lost cause// (feat. Jesse)","3E4rKEdLtjQF9mfOhuAgSu","spotify:track:3E4rKEdLtjQF9mfOhuAgSu"
"121","Park West",2023-10-06,"Ambar Lucid","4nzV0hThyodYzrwksnS86G","A letter to my younger self","1jjfOsxZ1Z1bovYbguK7bB","spotify:track:1jjfOsxZ1Z1bovYbguK7bB"
"122","Park West",2023-10-06,"Ambar Lucid","4nzV0hThyodYzrwksnS86G","Fantasmas","6ysYTOjc5pCMqx66zvj85D","spotify:track:6ysYTOjc5pCMqx66zvj85D"
